device_id,reading_date,voltage,packet_count,alert_email,site_id,signal_strength
SEN-000001,2024-10-27,143.07,136,zqogqn@outlook.com,SITE03,52.11
SEN-000002,2024-06-26,195.95,307,jopm@corp.io,SITE05,59.54
SEN-000003,2024-12-11,224.83,337,tbajpne@gmail.com,SITE02,44.87
SEN-000004,2024-10-04,181.43,97,imfal@yahoo.com,SITE04,82.1
SEN-000005,2024-08-14,106.24,163,hpowr@corp.io,SITE05,10.04
SEN-000006,2024-06-10,171.76,154,jreas@outlook.com,SITE04,4.57
SEN-000007,2024-11-21,178.83,482,bjccp@gmail.com,SITE04,65.39
SEN-000008,2024-04-30,144.33,331,pihhj@corp.io,SITE01,38.64
SEN-000009,2024-09-09,154.53,199,oztxmunj@yahoo.com,SITE06,18.78
SEN-000010,2024-10-13,102.46,77,qxzlav@gmail.com,SITE03,96.89
SEN-000011,2024-01-19,227.64,102,ggpd@outlook.com,SITE06,23.44
SEN-000012,2024-02-13,162.41,114,svxipff@gmail.com,SITE06,58.38
SEN-000013,2024-07-06,213.52,284,ekwbini@yahoo.com,SITE02,45.67
SEN-000014,2024-09-23,187.07,473,qrvgvf@outlook.com,SITE01,60.43
SEN-000015,2024-11-18,162.82,415,zzliyt@gmail.com,SITE06,4.04
SEN-000016,2024-11-14,122.06,276,awxplm@gmail.com,SITE05,62.92
SEN-000017,2024-02-13,199.41,249,geisgbc@outlook.com,SITE04,94.82
SEN-000018,2024-08-29,150.43,321,cinyhqei@outlook.com,SITE02,67.48
SEN-000019,2024-02-10,105.08,270,axhv@corp.io,SITE02,95.28
SEN-000020,2024-06-21,119.07,65,wmjmscjg@gmail.com,SITE03,48.91
SEN-000021,2024-12-11,184.69,156,hbuow@yahoo.com,SITE05,8.48
SEN-000022,2024-12-25,145.24,44,jcpz@gmail.com,SITE01,2.31
SEN-000023,2024-05-26,116.53,41,qamaot@gmail.com,SITE02,3.39
SEN-000024,2024-10-10,180.55,283,gaiyy@gmail.com,SITE05,14.94
SEN-000025,2024-12-21,201.9,333,azyb@yahoo.com,SITE05,91.78
SEN-000026,2024-06-28,109.94,267,iyxpwnn@corp.io,SITE06,16.03
SEN-000027,2024-12-30,192.54,148,txbs@gmail.com,SITE04,31.01
SEN-000028,2024-06-28,187.1,47,uxluelpc@corp.io,SITE03,80.65
SEN-000029,2024-07-25,197.38,438,rxcmul@corp.io,SITE03,17.15
SEN-000030,2024-08-20,144.54,249,csrv@gmail.com,SITE04,95.58
SEN-000031,2024-08-29,168.25,462,nlshbie@outlook.com,SITE05,84.47
SEN-000032,2024-12-03,235.68,371,qbiykb@yahoo.com,SITE03,21.2
SEN-000033,2024-01-20,195.84,188,giejvel@corp.io,SITE04,74.92
SEN-000034,2024-12-05,219.92,42,bmys@yahoo.com,SITE03,49.79
SEN-000035,2024-09-28,152.77,59,fjoct@outlook.com,SITE05,24.14
SEN-000036,2024-04-22,230.2,166,dptznoj@outlook.com,SITE06,95.57
SEN-000037,2024-08-24,114.78,468,uxrq@corp.io,SITE02,94.24
SEN-000038,2024-10-23,117.13,41,sjxqeq@corp.io,SITE01,85.27
SEN-000039,2024-02-19,103.12,69,aoxyeks@gmail.com,SITE02,43.96
SEN-000040,2024-01-07,114.91,408,bhbu@outlook.com,SITE01,94.53
SEN-000041,2024-10-28,176.2,287,siqwwhs@outlook.com,SITE06,37.67
SEN-000042,2024-11-25,188.65,428,kqsa@yahoo.com,SITE04,78.1
SEN-000043,2024-08-07,121.08,273,ixbeddx@corp.io,SITE04,81.17
SEN-000044,2024-09-07,179.32,404,qsyqk@gmail.com,SITE05,19.8
SEN-000045,2024-11-02,210.44,323,ustdfqp@corp.io,SITE01,74.92
SEN-000046,2024-11-25,207.65,256,zonaj@gmail.com,SITE04,54.75
SEN-000047,2024-07-11,215.49,243,hghqluur@gmail.com,SITE05,33.26
SEN-000048,2024-06-25,172.22,348,oqnci@corp.io,SITE02,96.1
SEN-000049,2024-10-01,198.77,254,thpexmh@corp.io,SITE01,91.89
SEN-000050,2024-01-03,239.42,145,splyozb@yahoo.com,SITE01,63.5
SEN-000051,2024-03-17,177.79,19,qtje@gmail.com,SITE06,12.69
SEN-000052,2024-08-19,233.38,282,rgien@corp.io,SITE04,56.2
SEN-000053,2024-12-14,151.51,413,aapvux@gmail.com,SITE03,39.31
SEN-000054,2024-08-04,140.71,318,vxwsf@yahoo.com,SITE04,82.01
SEN-000055,2024-06-30,104.86,485,csep@gmail.com,SITE01,89.06
SEN-000056,2024-08-16,141.15,371,eyxfw@corp.io,SITE03,73.11
SEN-000057,2024-06-08,178.13,169,wlufa@yahoo.com,SITE01,66.67
SEN-000058,2024-06-27,223.38,34,gwkrxdt@yahoo.com,SITE01,74.63
SEN-000059,2024-06-13,125.68,106,npldzmhr@yahoo.com,SITE05,70.36
SEN-000060,2024-07-23,201.58,57,zglevqja@corp.io,SITE02,53.75
SEN-000061,2024-01-31,179.95,285,zmkmpz@gmail.com,SITE04,89.18
SEN-000062,2024-01-23,173.66,330,ytgh@yahoo.com,SITE04,66.2
SEN-000063,2024-04-29,152.7,207,mbgsun@gmail.com,SITE04,59.56
SEN-000064,2024-01-07,106.27,369,ggnklexj@yahoo.com,SITE02,69.58
SEN-000065,2024-03-30,220.49,170,okbbau@yahoo.com,SITE04,50.06
SEN-000066,2024-04-23,111.2,223,zrcrat@outlook.com,SITE03,73.7
SEN-000067,2024-01-09,137.78,459,uhfhl@outlook.com,SITE05,67.84
SEN-000068,2024-08-26,179.21,487,yqxfcbz@corp.io,SITE05,43.63
SEN-000069,2024-05-21,152.73,14,mris@outlook.com,SITE06,78.21
SEN-000070,2024-08-06,211.72,390,cwmnhgom@gmail.com,SITE03,83.53
SEN-000071,2024-08-20,161.61,310,hvsza@yahoo.com,SITE06,85.38
SEN-000072,2024-08-07,169.8,281,pwkehz@corp.io,SITE01,6.82
SEN-000073,2024-05-25,176.96,367,dtmuz@outlook.com,SITE02,34.23
SEN-000074,2024-01-21,114.88,71,umcnv@gmail.com,SITE04,4.21
SEN-000075,2024-08-19,231.76,229,bqxszm@yahoo.com,SITE03,81.22
SEN-000076,2024-03-12,193.1,287,plct@corp.io,SITE03,78.99
SEN-000077,2024-11-08,109.53,417,spidumkr@gmail.com,SITE03,89.16
SEN-000078,2024-12-01,192.38,89,tawkd@corp.io,SITE04,92.71
SEN-000079,2024-04-25,124.2,346,vyiobfl@outlook.com,SITE05,69.99
SEN-000080,2024-04-19,135.7,121,apheh@corp.io,SITE04,94.12
SEN-000081,2024-12-22,223.88,299,feerok@corp.io,SITE06,25.13
SEN-000082,2024-01-09,212.92,473,piqgp@outlook.com,SITE04,57.27
SEN-000083,2024-05-12,107.09,157,bueerute@gmail.com,SITE03,17.48
SEN-000084,2024-11-23,228.21,87,rgfi@gmail.com,SITE01,50.14
SEN-000085,2024-11-14,199.82,89,ezicric@gmail.com,SITE06,81.99
SEN-000086,2024-07-22,202.66,82,hypaypgb@outlook.com,SITE01,6.79
SEN-000087,2024-03-01,182.81,62,ycdphhga@gmail.com,SITE02,26.39
SEN-000088,2024-02-25,145.37,425,dwiwphw@outlook.com,SITE02,91.16
SEN-000089,2024-07-22,120.76,19,ouaogwp@outlook.com,SITE03,51.2
SEN-000090,2024-07-13,225.66,113,ydumfep@yahoo.com,SITE06,9.72
SEN-000091,2024-03-30,132.87,438,lkqt@gmail.com,SITE06,78.24
SEN-000092,2024-04-12,174.98,406,uenffp@gmail.com,SITE03,64.02
SEN-000093,2024-09-27,181.77,143,yoqfvpr@outlook.com,SITE01,30.51
SEN-000094,2024-07-26,106.46,329,alypxza@outlook.com,SITE05,20.56
SEN-000095,2024-09-22,112.38,84,pqyhu@corp.io,SITE06,39.04
SEN-000096,2024-07-03,155.07,323,tsauc@gmail.com,SITE06,7.66
SEN-000097,2024-03-03,218.03,344,epfzfreq@outlook.com,SITE05,17.31
SEN-000098,2024-08-13,112.91,398,ufwgvz@gmail.com,SITE03,9.73
SEN-000099,2024-05-11,114.29,468,fuylel@outlook.com,SITE04,90.39
SEN-000100,2024-02-29,236.12,404,oyzwzrk@yahoo.com,SITE01,77.89
SEN-000101,2024-08-20,118.24,453,axshsxw@yahoo.com,SITE06,97.57
SEN-000102,2024-07-26,184.45,252,trrtgen@corp.io,SITE05,7.4
SEN-000103,2024-11-24,115.19,356,zoyrs@outlook.com,SITE05,90.12
SEN-000104,2024-10-10,104.36,323,hnnkshes@corp.io,SITE06,3.73
SEN-000105,2024-07-27,168.25,52,emcgl@corp.io,SITE02,37.29
SEN-000106,2024-12-31,108.21,241,eqsx@outlook.com,SITE06,55.57
SEN-000107,2024-02-12,131.37,360,baoq@gmail.com,SITE05,63.13
SEN-000108,2024-06-05,132.58,244,xdxbj@gmail.com,SITE03,34.38
SEN-000109,2024-03-30,198.75,161,yuzkzcr@yahoo.com,SITE03,50.0
SEN-000110,2024-10-21,150.12,200,jwvlbny@yahoo.com,SITE06,72.1
SEN-000111,2024-03-28,236.72,268,gyevq@gmail.com,SITE04,75.14
